,Unnamed: 0,trainName,trainNumber,stationFrom,stationTo,trainRunsOnSun,trainRunsOnMon,trainRunsOnTue,trainRunsOnWed,trainRunsOnThu,trainRunsOnFri,trainRunsOnSat,from_DepartureTime,from_StationName,to_StationName,to_ArrivalTime,dayCount,totalDistance
407,407,KGM LJN EXP,15044,KGM,LJN,N,Y,Y,N,Y,Y,Y,10:55,KATHGODAM,LUCKNOW NE,18:45,1.0,342.0
408,408,BKN GHY EXPRESS,25631,BKN,GHY,N,Y,N,Y,N,N,N,00:10,BIKANER JN,GUWAHATI,01:00,3.0,2332.0
409,409,JP JU SF EXP,22478,JP,JU,Y,Y,Y,Y,Y,Y,Y,06:00,JAIPUR,JODHPUR JN,11:00,1.0,313.0
410,410,ANVT INTERCITY,15059,LKU,ANVT,N,N,Y,N,Y,N,N,04:30,LAL KUAN,ANAND VIHAR TRM,10:50,1.0,263.0
411,411,CHENNAI MAIL,12602,MAQ,MAS,Y,Y,Y,Y,Y,Y,Y,13:25,MANGALURU CNTL,MGR CHENNAI CTL,05:40,2.0,889.0
412,412,JANSEWA EXPRESS,13420,MFP,BGP,Y,Y,Y,Y,Y,Y,Y,23:05,MUZAFFARPUR JN,BHAGALPUR,06:15,2.0,240.0
413,413,JBN KOLKATA EXP,13160,JBN,KOAA,N,N,Y,N,Y,N,Y,14:35,JOGBANI,KOLKATA,03:20,2.0,542.0
414,414,RNC JANSHATABDI,12365,PNBE,RNC,Y,Y,Y,Y,Y,Y,Y,06:00,PATNA JN,RANCHI,13:55,1.0,411.0
415,415,VSKP TATA EXP,20816,VSKP,TATA,Y,N,N,N,N,N,N,17:50,VISAKHAPATNAM,TATANAGAR JN,09:30,2.0,864.0
416,416,DURONTO AC EXP,12220,SC,LTT,N,N,Y,N,N,Y,N,23:05,SECUNDERABAD JN,LOKMANYATILAK T,11:05,2.0,773.0
417,417,HWH PRR EXP,12827,HWH,PRR,Y,Y,Y,Y,Y,Y,Y,16:50,HOWRAH JN,PURULIA JN,22:20,1.0,323.0
418,418,SGNR SF EXP,22981,JLWC,SGNR,Y,Y,Y,Y,Y,Y,Y,15:25,JHALAWAR CITY,SHRI GANGANAGAR,10:00,2.0,1017.0
419,419,KRISHNA EXP,17406,ADB,TPTY,Y,Y,Y,Y,Y,Y,Y,20:45,ADILABAD,TIRUPATI,21:15,2.0,1227.0
420,420,GANGAKAVERI EXP,12669,MAS,CPR,N,Y,N,N,N,N,Y,17:40,MGR CHENNAI CTL,CHHAPRA,11:45,3.0,2341.0
